"","Name","Pos","Team","GamesPlayed","Goals","Assists","Points","SCH","GoalsPerSCH","AssistsPerSCH","PointsPerSCH","SkillRank","Season"
"2809","Matt Hendricks","C","Winnipeg Jets",42,4,3,7,1850000,2.16,1.62,3.78,"D","2016/2017"
"2810","Mark Letestu","C","Columbus Blue Jackets",78,16,19,35,1800000,8.89,10.56,19.44,"C","2016/2017"
"2811","John Mitchell","C","Colorado Avalanche",65,3,4,7,1800000,1.67,2.22,3.89,"D","2016/2017"
"2812","Sebastian Aho","LW","Carolina Hurricanes",82,24,25,49,1775000,13.52,14.08,27.61,"C","2016/2017"
"2813","Matthew Tkachuk","LW","Calgary Flames",76,13,35,48,1775000,7.32,19.72,27.04,"C","2016/2017"
"2814","Kyle Connor","LW","Winnipeg Jets",20,2,3,5,1775000,1.13,1.69,2.82,"D","2016/2017"
"2815","Alex Nylander","LW","Buffalo Sabres",4,0,1,0,1775000,0,0.56,0,"D","2016/2017"
"2816","Jay Beagle","C","Washington Capitals",81,13,17,30,1750000,7.43,9.71,17.14,"C","2016/2017"
"2817","Antoine Vermette","C","Anaheim Ducks",72,9,19,28,1750000,5.14,10.86,16,"C","2016/2017"
"2818","William Nylander","RW","Toronto Maple Leafs",81,22,39,61,1744170,12.61,22.36,34.97,"C","2016/2017"
"2819","Mitch Marner","C","Toronto Maple Leafs",77,19,41,61,1744170,10.89,23.51,34.97,"C","2016/2017"
"2820","Bo Horvat","C","Vancouver Canucks",81,20,32,52,1744170,11.47,18.35,29.81,"C","2016/2017"
"2821","Pavel Zacha","C","New Jersey Devils",70,8,16,24,1744170,4.59,9.17,13.76,"C","2016/2017"
"2822","Jake Virtanen","RW","Vancouver Canucks",10,0,1,1,1744170,0,0.57,0.57,"D","2016/2017"
"2823","Tommy Wingels","C","Boston Bruins",73,7,5,8,1732500,4.04,2.89,4.62,"D","2016/2017"
"2824","Tyson Jost","LW","Colorado Avalanche",6,1,0,0,1704170,0.59,0,0,"D","2016/2017"
"2825","Clayton Keller","C","Arizona Coyotes",3,0,2,0,1704170,0,1.17,0,"D","2016/2017"
"2826","Denis Gurianov","RW","Dallas Stars",1,0,0,0,1675000,0,0,0,"D","2016/2017"
"2827","Michael Grabner","RW","New Jersey Devils",76,27,13,40,1650000,16.36,7.88,24.24,"C","2016/2017"
"2828","Timo Meier","RW","San Jose Sharks",34,3,3,6,1644170,1.82,1.82,3.65,"D","2016/2017"
"2829","Mikko Rantanen","RW","Colorado Avalanche",75,20,19,38,1627500,12.29,11.67,23.35,"C","2016/2017"
"2830","Nick Ritchie","LW","Anaheim Ducks",77,14,14,28,1627500,8.6,8.6,17.2,"C","2016/2017"
"2831","Melker Karlsson","RW","San Jose Sharks",67,11,11,22,1625000,6.77,6.77,13.54,"C","2016/2017"
"2832","Lawson Crouse","LW","Arizona Coyotes",72,5,7,12,1602500,3.12,4.37,7.49,"D","2016/2017"
"2833","Kyle Clifford","LW","Los Angeles Kings",73,6,6,12,1600000,3.75,3.75,7.5,"D","2016/2017"
"2834","Teddy Purcell","RW","Free Agent",12,0,2,2,1600000,0,1.25,1.25,"D","2016/2017"
"2835","Nate Thompson","C","Los Angeles Kings",30,1,1,2,1600000,0.63,0.63,1.25,"D","2016/2017"
"2836","Nikolaj Ehlers","LW","Winnipeg Jets",82,25,39,64,1594170,15.68,24.46,40.15,"C","2016/2017"
"2837","Martin Hanzal","C","Dallas Stars",71,20,19,13,1550000,12.9,12.26,8.39,"D","2016/2017"
"2838","Alex Burmistrov","C","Vancouver Canucks",49,5,11,2,1550000,3.23,7.1,1.29,"D","2016/2017"
"2839","Nick Schmaltz","C","Chicago Blackhawks",61,6,22,28,1541670,3.89,14.27,18.16,"C","2016/2017"
"2840","Anton Slepyshev","LW","Edmonton Oilers",41,4,6,10,1525000,2.62,3.93,6.56,"D","2016/2017"
"2841","Patrick Maroon","RW","New Jersey Devils",81,27,15,42,1500000,18,10,28,"C","2016/2017"
"2842","Zack Kassian","RW","Edmonton Oilers",79,8,17,24,1500000,5.33,11.33,16,"C","2016/2017"
"2843","Magnus Paajarvi","LW","Ottawa Senators",32,8,5,13,1500000,5.33,3.33,8.67,"D","2016/2017"
"2844","Viktor Stalberg","LW","Ottawa Senators",75,11,5,12,1500000,7.33,3.33,8,"D","2016/2017"
"2845","Chris Neil","RW","Ottawa Senators",53,1,3,4,1500000,0.67,2,2.67,"D","2016/2017"
"2846","Mark Jankowski","C","Calgary Flames",1,0,0,0,1493750,0,0,0,"D","2016/2017"
"2847","Brock Boeser","RW","Vancouver Canucks",7,2,1,0,1491670,1.34,0.67,0,"D","2016/2017"
"2848","Tanner Glass","LW","Calgary Flames",11,1,1,2,1450000,0.69,0.69,1.38,"D","2016/2017"
"2849","Dylan Larkin","C","Detroit Red Wings",80,17,15,32,1425000,11.93,10.53,22.46,"C","2016/2017"
"2850","Alexander Wennberg","C","Columbus Blue Jackets",80,13,46,59,1400000,9.29,32.86,42.14,"C","2016/2017"
"2851","Tanner Pearson","LW","Los Angeles Kings",80,24,20,44,1400000,17.14,14.29,31.43,"C","2016/2017"
"2852","Max Domi","C","Montreal Canadiens",59,9,29,38,1363330,6.6,21.27,27.87,"C","2016/2017"
"2853","Brendan Perlini","LW","Arizona Coyotes",57,14,7,21,1363330,10.27,5.13,15.4,"C","2016/2017"
"2854","Kevin Fiala","LW","Nashville Predators",54,11,5,16,1363330,8.07,3.67,11.74,"D","2016/2017"
"2855","Jakub Vrana","LW","Washington Capitals",21,3,3,6,1363330,2.2,2.2,4.4,"D","2016/2017"
"2856","Hudson Fasching","RW","Buffalo Sabres",10,0,1,1,1350000,0,0.74,0.74,"D","2016/2017"
"2857","Alex Tuch","RW","Vegas Golden Knights",6,0,0,0,1350000,0,0,0,"D","2016/2017"
"2858","Marcus Sorensen","LW","San Jose Sharks",19,1,3,0,1350000,0.74,2.22,0,"D","2016/2017"
"2859","Drake Caggiula","RW","Edmonton Oilers",60,7,11,0,1350000,5.19,8.15,0,"D","2016/2017"
"2860","Teuvo Teravainen","RW","Carolina Hurricanes",81,15,27,42,1344170,11.16,20.09,31.25,"C","2016/2017"
"2861","Radek Faksa","C","Dallas Stars",80,12,21,33,1338330,8.97,15.69,24.66,"C","2016/2017"
"2862","Cody McLeod","LW","New York Rangers",59,5,1,1,1333330,3.75,0.75,0.75,"D","2016/2017"
"2863","Thomas Vanek","LW","Columbus Blue Jackets",68,17,31,38,1300000,13.08,23.85,29.23,"C","2016/2017"
"2864","Mikhail Grigorenko","C","Free Agent",75,10,13,23,1300000,7.69,10,17.69,"C","2016/2017"
"2865","Derek MacKenzie","C","Florida Panthers",82,6,10,16,1300000,4.62,7.69,12.31,"D","2016/2017"
"2866","Devante Smith-Pelly","RW","Washington Capitals",53,4,5,9,1300000,3.08,3.85,6.92,"D","2016/2017"
"2867","Peter Holland","RW","New York Rangers",48,5,7,1,1300000,3.85,5.38,0.77,"D","2016/2017"
"2868","Joakim Nordstrom","LW","Carolina Hurricanes",82,7,5,12,1275000,5.49,3.92,9.41,"D","2016/2017"
"2869","Sonny Milano","LW","Columbus Blue Jackets",4,0,0,0,1263330,0,0,0,"D","2016/2017"
"2870","Curtis Lazar","RW","Calgary Flames",37,1,3,3,1254170,0.8,2.39,2.39,"D","2016/2017"
"2871","P.A. Parenteau","RW","Detroit Red Wings",67,13,15,27,1250000,10.4,12,21.6,"C","2016/2017"
"2872","J.T. Brown","RW","Anaheim Ducks",64,3,3,6,1250000,2.4,2.4,4.8,"D","2016/2017"
"2873","Vernon Fiddler","C","Nashville Predators",59,2,2,3,1250000,1.6,1.6,2.4,"D","2016/2017"
"2874","Erik Condra","RW","Tampa Bay Lightning",13,0,0,0,1250000,0,0,0,"D","2016/2017"
"2875","Torrey Mitchell","RW","Los Angeles Kings",78,8,9,17,1200000,6.67,7.5,14.17,"D","2016/2017"
"2876","Jay McClement","C","Free Agent",65,5,3,8,1200000,4.17,2.5,6.67,"D","2016/2017"
"2877","Chris Thorburn","RW","St Louis Blues",64,3,1,4,1200000,2.5,0.83,3.33,"D","2016/2017"
"2878","Paul Byron","LW","Montreal Canadiens",81,22,21,43,1166670,18.86,18,36.86,"C","2016/2017"
"2879","Jacob De La Rose","C","Montreal Canadiens",9,0,0,0,1166670,0,0,0,"D","2016/2017"
"2880","Chris Stewart","RW","Calgary Flames",79,13,8,21,1150000,11.3,6.96,18.26,"C","2016/2017"
"2881","Zemgus Girgensons","C","Buffalo Sabres",75,7,9,16,1150000,6.09,7.83,13.91,"D","2016/2017"
"2882","Joonas Donskoi","RW","San Jose Sharks",61,6,11,17,1137500,5.27,9.67,14.95,"D","2016/2017"
"2883","Jack Roslovic","RW","Winnipeg Jets",1,0,0,0,1137500,0,0,0,"D","2016/2017"
"2884","Adam Lowry","C","Winnipeg Jets",82,15,14,29,1125000,13.33,12.44,25.78,"C","2016/2017"
"2885","Ryan Reaves","RW","Vegas Golden Knights",80,7,6,13,1125000,6.22,5.33,11.56,"D","2016/2017"
"2886","Robby Fabbri","C","St Louis Blues",51,11,18,29,1106670,9.94,16.27,26.2,"C","2016/2017"
"2887","Anthony Beauvillier","LW","New York Islanders",66,9,15,24,1106670,8.13,13.55,21.69,"C","2016/2017"
"2888","Jared McCann","C","Florida Panthers",29,1,6,7,1106670,0.9,5.42,6.33,"D","2016/2017"
"2889","Joel Eriksson Ek","C","Minnesota Wild",15,3,4,7,1106670,2.71,3.61,6.33,"D","2016/2017"
"2890","Evgeny Svechnikov","LW","Detroit Red Wings",2,0,0,0,1106670,0,0,0,"D","2016/2017"
"2891","Christian Fischer","RW","Arizona Coyotes",7,3,0,0,1106670,2.71,0,0,"D","2016/2017"
"2892","Travis Konecny","C","Philadelphia Flyers",70,12,17,0,1106670,10.84,15.36,0,"D","2016/2017"
"2893","Brandon Pirri","C","Vegas Golden Knights",60,8,9,18,1100000,7.27,8.18,16.36,"D","2016/2017"
"2894","Jacob Josefson","C","Buffalo Sabres",38,1,9,10,1100000,0.91,8.18,9.09,"D","2016/2017"
"2895","Josh Ho-Sang","RW","New York Islanders",21,4,6,10,1075830,3.72,5.58,9.3,"D","2016/2017"
"2896","Michael McCarron","RW","Montreal Canadiens",31,1,4,5,1075830,0.93,3.72,4.65,"D","2016/2017"
"2897","Hunter Shinkaruk","C","Calgary Flames",7,0,1,1,1075830,0,0.93,0.93,"D","2016/2017"
"2898","Scott Laughton","C","Philadelphia Flyers",2,0,0,0,1075830,0,0,0,"D","2016/2017"
"2899","Nikolay Goldobin","RW","Vancouver Canucks",14,3,0,0,1075830,2.79,0,0,"D","2016/2017"
"2900","Rocco Grimaldi","C","Colorado Avalanche",4,0,1,1,1066670,0,0.94,0.94,"D","2016/2017"
"2901","Nikita Scherbak","LW","Montreal Canadiens",3,1,0,1,1063330,0.94,0,0.94,"D","2016/2017"
"2902","Christian Dvorak","LW","Arizona Coyotes",78,15,18,33,1051670,14.26,17.12,31.38,"C","2016/2017"
"2903","Brendan Gaunce","LW","Vancouver Canucks",57,0,5,5,1025830,0,4.87,4.87,"D","2016/2017"
"2904","Drew Miller","LW","Free Agent",55,4,3,7,1024999,3.9,2.93,6.83,"D","2016/2017"
"2905","Matt Cullen","C","Minnesota Wild",72,13,18,31,1e+06,13,18,31,"C","2016/2017"
"2906","Erik Haula","C","Vegas Golden Knights",72,15,11,26,1e+06,15,11,26,"C","2016/2017"
"2907","Dominic Moore","C","Toronto Maple Leafs",82,11,14,25,1e+06,11,14,25,"C","2016/2017"
"2908","William Karlsson","C","Vegas Golden Knights",81,6,19,25,1e+06,6,19,25,"C","2016/2017"
"2909","Lauri Korpikoski","LW","Free Agent",69,8,12,20,1e+06,8,12,20,"C","2016/2017"
"2910","Patrick Eaves","RW","Anaheim Ducks",79,32,19,14,1e+06,32,19,14,"D","2016/2017"
"2911","Dmitrij Jaskin","LW","St Louis Blues",51,1,10,11,1e+06,1,10,11,"D","2016/2017"
"2912","Ryan White","C","Free Agent",65,9,7,3,1e+06,9,7,3,"D","2016/2017"
"2913","JT Compher","C","Colorado Avalanche",21,3,3,0,1e+06,3,3,0,"D","2016/2017"
"2914","Danton Heinen","LW","Boston Bruins",8,0,0,0,995833,0,0,0,"D","2016/2017"
"2915","Anton Lander","C","Edmonton Oilers",22,1,3,4,987500,1.01,3.04,4.05,"D","2016/2017"
"2916","Ryan Spooner","C","New York Rangers",78,12,28,39,950000,12.63,29.47,41.05,"C","2016/2017"
"2917","Kris Versteeg","RW","Calgary Flames",69,15,22,37,950000,15.79,23.16,38.95,"C","2016/2017"
"2918","Colton Sceviour","RW","Florida Panthers",80,9,15,24,950000,9.47,15.79,25.26,"C","2016/2017"
"2919","Jesper Fast","RW","New York Rangers",68,6,15,21,950000,6.32,15.79,22.11,"C","2016/2017"
"2920","Kyle Brodziak","C","St Louis Blues",69,9,7,15,950000,9.47,7.37,15.79,"D","2016/2017"
"2921","Johan Larsson","C","Buffalo Sabres",36,6,5,11,950000,6.32,5.26,11.58,"D","2016/2017"
"2922","Brian Flynn","RW","Dallas Stars",51,6,4,10,950000,6.32,4.21,10.53,"D","2016/2017"
"2923","Jordan Nolan","LW","Buffalo Sabres",46,4,3,8,950000,4.21,3.16,8.42,"D","2016/2017"
"2924","Boyd Gordon","C","Philadelphia Flyers",13,1,0,1,950000,1.05,0,1.05,"D","2016/2017"
"2925","Anton Rodin","RW","Vancouver Canucks",3,0,1,0,950000,0,1.05,0,"D","2016/2017"
"2926","David Pastrnak","LW","Boston Bruins",75,34,36,70,925000,36.76,38.92,75.68,"C","2016/2017"
"2927","Devin Shore","C","Dallas Stars",82,13,20,33,925000,14.05,21.62,35.68,"C","2016/2017"
"2928","Artturi Lehkonen","LW","Montreal Canadiens",73,18,10,28,925000,19.46,10.81,30.27,"C","2016/2017"
"2929","Pavel Buchnevich","RW","New York Rangers",41,8,12,20,925000,8.65,12.97,21.62,"C","2016/2017"
"2930","Joel Armia","RW","Winnipeg Jets",57,10,9,19,925000,10.81,9.73,20.54,"D","2016/2017"
"2931","Frank Vatrano","C","Florida Panthers",44,10,8,18,925000,10.81,8.65,19.46,"D","2016/2017"
"2932","Miles Wood","LW","New Jersey Devils",60,8,9,17,925000,8.65,9.73,18.38,"D","2016/2017"
"2933","Andrew Copp","C","Winnipeg Jets",64,9,8,17,925000,9.73,8.65,18.38,"D","2016/2017"
"2934","Tanner Kero","C","Chicago Blackhawks",47,6,10,16,925000,6.49,10.81,17.3,"D","2016/2017"
