"","Name","Pos","Team","GamesPlayed","Goals","Assists","Points","SCH","GoalsPerSCH","AssistsPerSCH","PointsPerSCH","SkillRank","Season"
"551","Chuck Kobasew","RW","Inactive",33,2,0,2,550000,3.64,0,3.64,"D","2013/2014"
"552","Chris VandeVelde","C","Philadelphia Flyers",18,0,1,1,550000,0,1.82,1.82,"D","2013/2014"
"553","Matt Pelech","RW","Inactive",6,1,0,1,550000,1.82,0,1.82,"D","2013/2014"
"554","Travis Morin","C","Dallas Stars",4,0,1,1,550000,0,1.82,1.82,"D","2013/2014"
"555","Andrew Ebbett","C","Free Agent",9,0,1,1,550000,0,1.82,1.82,"D","2013/2014"
"556","Brad Mills","C","Inactive",3,0,0,0,550000,0,0,0,"D","2013/2014"
"557","Pierre-Luc Letourneau-Leblond","LW","Pittsburgh Penguins",1,0,0,0,550000,0,0,0,"D","2013/2014"
"558","Benn Ferriero","C","Inactive",2,0,0,0,550000,0,0,0,"D","2013/2014"
"559","Jerred Smithson","C","Inactive",18,0,0,0,550000,0,0,0,"D","2013/2014"
"560","Mark Van Guilder","C","Inactive",1,0,0,0,550000,0,0,0,"D","2013/2014"
"561","Brett Gallant","LW","New York Islanders",4,0,0,0,550000,0,0,0,"D","2013/2014"
"562","Zach Sill","LW","Washington Capitals",20,0,0,0,550000,0,0,0,"D","2013/2014"
"563","Mike Sislo","RW","Free Agent",14,0,0,0,550000,0,0,0,"D","2013/2014"
"564","Peter LeBlanc","C","Inactive",1,0,0,0,550000,0,0,0,"D","2013/2014"
"565","David Steckel","LW","Inactive",6,0,0,0,550000,0,0,0,"D","2013/2014"
"566","Nicholas Drazenovic","C","Inactive",1,0,0,0,550000,0,0,0,"D","2013/2014"
"567","Ryan Stoa","C","Inactive",3,0,0,0,550000,0,0,0,"D","2013/2014"
"568","Pascal Pelletier","LW","Inactive",3,0,0,0,550000,0,0,0,"D","2013/2014"
"569","Mike Blunden","RW","Ottawa Senators",7,0,0,0,550000,0,0,0,"D","2013/2014"
"570","Martin St. Pierre","C","Inactive",1,0,0,0,550000,0,0,0,"D","2013/2014"
"571","Chris Terry","LW","Montreal Canadiens",10,0,2,2,537500,0,3.72,3.72,"D","2013/2014"
"572","Kevin Porter","C","Pittsburgh Penguins",12,0,1,1,537500,0,1.86,1.86,"D","2013/2014"
"573","Cory Emmerton","C","Inactive",18,0,2,2,533333,0,3.75,3.75,"D","2013/2014"
"574","Richard Clune","LW","Toronto Maple Leafs",58,3,4,7,525000,5.71,7.62,13.33,"D","2013/2014"
"575","Marc-Andre Cliche","RW","New York Islanders",76,1,6,7,525000,1.9,11.43,13.33,"D","2013/2014"
"576","Jeremy Welsh","C","St Louis Blues",19,1,0,1,510000,1.96,0,1.96,"D","2013/2014"
"577","Matt Frattin","RW","Ottawa Senators",44,2,5,7,487500,4.1,10.26,14.36,"D","2013/2014"
"578","Shea Weber","RD","Montreal Canadiens",79,23,33,56,7857140,2.93,4.2,7.13,"A","2013/2014"
"579","Ryan Suter","LD","Minnesota Wild",82,8,35,43,7538460,1.06,4.64,5.7,"A","2013/2014"
"580","Brian Campbell","D","Free Agent",82,7,30,37,7140000,0.98,4.2,5.18,"A","2013/2014"
"581","Drew Doughty","RD","Los Angeles Kings",78,10,27,37,7e+06,1.43,3.86,5.29,"A","2013/2014"
"582","Zdeno Chara","LD","Boston Bruins",77,17,23,40,6916670,2.46,3.33,5.78,"A","2013/2014"
"583","Jay Bouwmeester","LD","St Louis Blues",82,4,33,37,6680000,0.6,4.94,5.54,"A","2013/2014"
"584","Dan Boyle","D","Free Agent",75,12,24,36,6666670,1.8,3.6,5.4,"A","2013/2014"
"585","Erik Karlsson","RD","Ottawa Senators",82,20,54,74,6500000,3.08,8.31,11.38,"A","2013/2014"
"586","Alex Pietrangelo","RD","St Louis Blues",81,8,43,51,6500000,1.23,6.62,7.85,"A","2013/2014"
"587","Dion Phaneuf","LD","Los Angeles Kings",80,8,23,31,6500000,1.23,3.54,4.77,"A","2013/2014"
"588","Mike Green","RD","Detroit Red Wings",70,9,29,38,6083330,1.48,4.77,6.25,"A","2013/2014"
"589","Kimmo Timonen","D","Free Agent",77,6,29,35,6e+06,1,4.83,5.83,"A","2013/2014"
"590","Brent Seabrook","RD","Chicago Blackhawks",82,7,34,41,5800000,1.21,5.86,7.07,"A","2013/2014"
"591","Brent Burns","RD","San Jose Sharks",69,22,26,48,5760000,3.82,4.51,8.33,"A","2013/2014"
"592","Andrei Markov","D","Free Agent",81,7,36,43,5750000,1.22,6.26,7.48,"A","2013/2014"
"593","Tobias Enstrom","LD","Winnipeg Jets",82,10,20,30,5750000,1.74,3.48,5.22,"A","2013/2014"
"594","Duncan Keith","LD","Chicago Blackhawks",79,6,55,61,5550770,1.08,9.91,10.99,"A","2013/2014"
"595","James Wisniewski","D","Carolina Hurricanes",75,7,44,51,5500000,1.27,8,9.27,"A","2013/2014"
"596","Oliver Ekman-Larsson","LD","Arizona Coyotes",80,15,29,44,5500000,2.73,5.27,8,"A","2013/2014"
"597","Matt Carle","D","Nashville Predators",82,2,29,31,5500000,0.36,5.27,5.64,"A","2013/2014"
"598","Tyler Myers","RD","Winnipeg Jets",62,9,13,22,5500000,1.64,2.36,4,"B","2013/2014"
"599","Keith Yandle","LD","Florida Panthers",82,8,45,53,5250000,1.52,8.57,10.1,"A","2013/2014"
"600","Mark Streit","D","Montreal Canadiens",82,10,34,44,5250000,1.9,6.48,8.38,"A","2013/2014"
"601","Dennis Wideman","D","Free Agent",46,4,17,21,5250000,0.76,3.24,4,"B","2013/2014"
"602","Dustin Byfuglien","RD","Winnipeg Jets",78,20,36,56,5200000,3.85,6.92,10.77,"A","2013/2014"
"603","Zach Bogosian","RD","Buffalo Sabres",55,3,8,11,5142860,0.58,1.56,2.14,"B","2013/2014"
"604","Alexander Edler","LD","Vancouver Canucks",63,7,15,22,5e+06,1.4,3,4.4,"B","2013/2014"
"605","Sergei Gonchar","D","Free Agent",76,2,20,22,5e+06,0.4,4,4.4,"B","2013/2014"
"606","Paul Martin","LD","San Jose Sharks",39,3,12,15,5e+06,0.6,2.4,3,"B","2013/2014"
"607","Niklas Kronwall","LD","Detroit Red Wings",79,8,41,49,4750000,1.68,8.63,10.32,"A","2013/2014"
"608","Lubomir Visnovsky","D","Free Agent",24,3,8,11,4750000,0.63,1.68,2.32,"B","2013/2014"
"609","Ryan McDonagh","LD","Tampa Bay Lightning",77,14,29,43,4700000,2.98,6.17,9.15,"A","2013/2014"
"610","Alex Goligoski","LD","Arizona Coyotes",81,6,36,42,4600000,1.3,7.83,9.13,"A","2013/2014"
"611","Jason Garrison","D","Vegas Golden Knights",81,7,26,33,4600000,1.52,5.65,7.17,"A","2013/2014"
"612","Kevin Bieksa","RD","Anaheim Ducks",76,4,20,24,4600000,0.87,4.35,5.22,"B","2013/2014"
"613","Fedor Tyutin","D","Free Agent",69,4,22,26,4500000,0.89,4.89,5.78,"B","2013/2014"
"614","Dan Hamhuis","LD","Dallas Stars",79,5,17,22,4500000,1.11,3.78,4.89,"B","2013/2014"
"615","Braydon Coburn","LD","Tampa Bay Lightning",82,5,12,17,4500000,1.11,2.67,3.78,"B","2013/2014"
"616","Jack Johnson","LD","Columbus Blue Jackets",82,5,28,33,4357140,1.15,6.43,7.57,"A","2013/2014"
"617","Kevin Shattenkirk","RD","New York Rangers",81,10,35,45,4250000,2.35,8.24,10.59,"A","2013/2014"
"618","Marc-Edouard Vlasic","LD","San Jose Sharks",81,5,19,24,4250000,1.18,4.47,5.65,"B","2013/2014"
"619","Anton Volchenkov","D","Free Agent",56,0,8,8,4250000,0,1.88,1.88,"B","2013/2014"
"620","Slava Voynov","D","Los Angeles Kings",82,4,30,34,4166670,0.96,7.2,8.16,"A","2013/2014"
"621","Ed Jovanovski","D","Inactive",37,1,4,5,4125000,0.24,0.97,1.21,"B","2013/2014"
"622","Mark Giordano","LD","Calgary Flames",64,14,33,47,4019999,3.48,8.21,11.69,"A","2013/2014"
"623","Victor Hedman","LD","Tampa Bay Lightning",75,13,42,55,4e+06,3.25,10.5,13.75,"A","2013/2014"
"624","Marek Zidlicky","D","Free Agent",81,12,30,42,4e+06,3,7.5,10.5,"A","2013/2014"
"625","Roman Josi","LD","Nashville Predators",72,13,27,40,4e+06,3.25,6.75,10,"A","2013/2014"
"626","Cam Fowler","LD","Anaheim Ducks",70,6,30,36,4e+06,1.5,7.5,9,"A","2013/2014"
"627","Christian Ehrhoff","D","Free Agent",79,6,27,33,4e+06,1.5,6.75,8.25,"A","2013/2014"
"628","Zbynek Michalek","D","Free Agent",59,2,8,10,4e+06,0.5,2,2.5,"B","2013/2014"
"629","Tim Gleason","D","Free Agent",56,1,5,6,4e+06,0.25,1.25,1.5,"B","2013/2014"
"630","Marc Staal","LD","New York Rangers",72,3,11,14,3975000,0.75,2.77,3.52,"B","2013/2014"
"631","John Carlson","RD","Washington Capitals",82,10,27,37,3966670,2.52,6.81,9.33,"A","2013/2014"
"632","Josh Gorges","LD","Buffalo Sabres",66,1,13,14,3900000,0.26,3.33,3.59,"B","2013/2014"
"633","Eric Brewer","D","Free Agent",77,4,13,17,3875000,1.03,3.35,4.39,"B","2013/2014"
"634","John-Michael Liles","D","Free Agent",41,2,7,9,3875000,0.52,1.81,2.32,"B","2013/2014"
"635","Travis Hamonic","RD","Calgary Flames",69,3,15,18,3857140,0.78,3.89,4.67,"B","2013/2014"
"636","Justin Schultz","RD","Pittsburgh Penguins",74,11,22,33,3775000,2.91,5.83,8.74,"A","2013/2014"
"637","Kyle Quincey","D","Minnesota Wild",82,4,9,13,3775000,1.06,2.38,3.44,"B","2013/2014"
"638","Erik Johnson","RD","Colorado Avalanche",80,9,30,39,3750000,2.4,8,10.4,"A","2013/2014"
"639","Sami Salo","D","Inactive",71,4,13,17,3750000,1.07,3.47,4.53,"B","2013/2014"
"640","Brooks Orpik","LD","Washington Capitals",72,2,11,13,3750000,0.53,2.93,3.47,"B","2013/2014"
"641","Luke Schenn","RD","Arizona Coyotes",79,4,8,12,3600000,1.11,2.22,3.33,"B","2013/2014"
"642","Brad Stuart","D","Colorado Avalanche",61,3,8,11,3600000,0.83,2.22,3.06,"B","2013/2014"
"643","Niklas Hjalmarsson","RD","Arizona Coyotes",81,4,22,26,3500000,1.14,6.29,7.43,"B","2013/2014"
"644","Kris Letang","RD","Pittsburgh Penguins",37,11,11,22,3500000,3.14,3.14,6.29,"B","2013/2014"
"645","Francois Beauchemin","LD","Anaheim Ducks",70,4,13,17,3500000,1.14,3.71,4.86,"B","2013/2014"
"646","Nick Grossmann","D","Calgary Flames",78,1,13,14,3500000,0.29,3.71,4,"B","2013/2014"
"647","Willie Mitchell","D","Free Agent",76,1,11,12,3500000,0.29,3.14,3.43,"B","2013/2014"
"648","Bryan Allen","D","Montreal Canadiens",68,0,10,10,3500000,0,2.86,2.86,"B","2013/2014"
"649","Ladislav Smid","D","Calgary Flames",73,2,6,8,3500000,0.57,1.71,2.29,"B","2013/2014"
"650","Nick Schultz","D","Philadelphia Flyers",69,0,5,5,3500000,0,1.43,1.43,"B","2013/2014"
"651","Ryan Murray","RD","Columbus Blue Jackets",66,4,17,21,3494170,1.14,4.87,6.01,"B","2013/2014"
"652","Johnny Oduya","LD","Philadelphia Flyers",77,3,13,16,3383330,0.89,3.84,4.73,"B","2013/2014"
"653","Henrik Tallinder","D","Inactive",64,2,6,8,3375000,0.59,1.78,2.37,"B","2013/2014"
"654","Rob Scuderi","D","Free Agent",53,0,4,4,3375000,0,1.19,1.19,"B","2013/2014"
"655","Johnny Boychuk","RD","New York Islanders",75,5,18,23,3366670,1.49,5.35,6.83,"B","2013/2014"
"656","Dan Girardi","RD","Tampa Bay Lightning",81,5,19,24,3325000,1.5,5.71,7.22,"B","2013/2014"
"657","Trevor Daley","LD","Detroit Red Wings",67,9,16,25,3300000,2.73,4.85,7.58,"B","2013/2014"
"658","Stephane Robidas","D","Toronto Maple Leafs",38,5,5,10,3300000,1.52,1.52,3.03,"B","2013/2014"
"659","Andrew Ference","D","Edmonton Oilers",71,3,15,18,3250000,0.92,4.62,5.54,"B","2013/2014"
"660","Jan Hejda","D","Free Agent",78,6,11,17,3250000,1.85,3.38,5.23,"B","2013/2014"
"661","Jonathan Ericsson","LD","Detroit Red Wings",48,1,10,11,3250000,0.31,3.08,3.38,"B","2013/2014"
"662","Dennis Seidenberg","RD","New York Islanders",34,1,9,10,3250000,0.31,2.77,3.08,"B","2013/2014"
"663","Seth Jones","RD","Columbus Blue Jackets",77,6,19,25,3225000,1.86,5.89,7.75,"B","2013/2014"
"664","Erik Gudbranson","RD","Vancouver Canucks",65,3,6,9,3200000,0.94,1.88,2.81,"B","2013/2014"
"665","Barret Jackman","D","Free Agent",79,3,12,15,3166670,0.95,3.79,4.74,"B","2013/2014"
"666","Bryce Salvador","D","Free Agent",40,1,3,4,3166670,0.32,0.95,1.26,"B","2013/2014"
"667","Carl Gunnarsson","LD","St Louis Blues",80,3,14,17,3150000,0.95,4.44,5.4,"B","2013/2014"
"668","Jared Cowen","D","Toronto Maple Leafs",68,6,9,15,3100000,1.94,2.9,4.84,"B","2013/2014"
"669","Chris Phillips","D","Free Agent",70,1,14,15,3083330,0.32,4.54,4.86,"B","2013/2014"
"670","Andy Greene","LD","New Jersey Devils",82,8,24,32,3e+06,2.67,8,10.67,"C","2013/2014"
"671","Marc Methot","LD","Dallas Stars",75,6,17,23,3e+06,2,5.67,7.67,"B","2013/2014"
"672","Robyn Regehr","D","Free Agent",79,3,11,14,3e+06,1,3.67,4.67,"B","2013/2014"
"673","Rostislav Klesla","D","Inactive",25,1,3,4,2975000,0.34,1.01,1.34,"B","2013/2014"
"674","Matt Greene","D","Los Angeles Kings",38,2,4,6,2950000,0.68,1.36,2.03,"B","2013/2014"
"675","Kevin Klein","D","New York Rangers",77,2,7,9,2900000,0.69,2.41,3.1,"B","2013/2014"
"676","P.K. Subban","RD","Nashville Predators",82,10,43,53,2875000,3.48,14.96,18.43,"A","2013/2014"
"677","Karl Alzner","LD","Montreal Canadiens",82,2,16,18,2800000,0.71,5.71,6.43,"B","2013/2014"
"678","Andrej Sekera","LD","Edmonton Oilers",74,11,33,44,2750000,4,12,16,"A","2013/2014"
"679","Derek Morris","D","Inactive",63,5,12,17,2750000,1.82,4.36,6.18,"B","2013/2014"
"680","Roman Polak","RD","Toronto Maple Leafs",72,4,9,13,2750000,1.45,3.27,4.73,"B","2013/2014"
"681","Nick Leddy","LD","New York Islanders",82,7,24,31,2700000,2.59,8.89,11.48,"C","2013/2014"
"682","Jared Spurgeon","RD","Minnesota Wild",67,5,21,26,2666670,1.87,7.87,9.75,"C","2013/2014"
"683","Michael Del Zotto","LD","Vancouver Canucks",67,3,13,16,2550000,1.18,5.1,6.27,"B","2013/2014"
"684","Dmitry Kulikov","LD","Winnipeg Jets",81,8,11,19,2500000,3.2,4.4,7.6,"C","2013/2014"
"685","Jakub Kindl","D","Free Agent",66,2,17,19,2400000,0.83,7.08,7.92,"C","2013/2014"
"686","Matt Niskanen","RD","Washington Capitals",81,10,36,46,2300000,4.35,15.65,20,"C","2013/2014"
"687","Jordan Leopold","D","Free Agent",27,1,5,6,2250000,0.44,2.22,2.67,"D","2013/2014"
"688","Ryan Wilson","D","Free Agent",28,0,6,6,2250000,0,2.67,2.67,"D","2013/2014"
"689","Michal Rozsival","RD","Chicago Blackhawks",42,1,7,8,2200000,0.45,3.18,3.64,"D","2013/2014"
"690","Luca Sbisa","RD","Vegas Golden Knights",30,1,5,6,2175000,0.46,2.3,2.76,"D","2013/2014"
"691","Nikita Nikitin","D","Free Agent",66,2,13,15,2150000,0.93,6.05,6.98,"C","2013/2014"
"692","T.J. Brodie","LD","Calgary Flames",81,4,27,31,2125000,1.88,12.71,14.59,"C","2013/2014"
"693","Grant Clitsome","D","Free Agent",32,2,10,12,2066669,0.97,4.84,5.81,"D","2013/2014"
"694","Cody Franson","D","Chicago Blackhawks",79,5,28,33,2e+06,2.5,14,16.5,"C","2013/2014"
"695","Patrick Wiercioch","D","Vancouver Canucks",53,4,19,23,2e+06,2,9.5,11.5,"C","2013/2014"
"696","Andrej Meszaros","D","Free Agent",52,7,15,22,2e+06,3.5,7.5,11,"C","2013/2014"
"697","Alexei Emelin","LD","Nashville Predators",59,3,14,17,2e+06,1.5,7,8.5,"C","2013/2014"
"698","Ron Hainsey","RD","Toronto Maple Leafs",82,4,11,15,2e+06,2,5.5,7.5,"C","2013/2014"
"699","Cory Sarich","D","Inactive",54,1,9,10,2e+06,0.5,4.5,5,"D","2013/2014"
"700","Shane O'Brien","D","Free Agent",45,0,3,3,2e+06,0,1.5,1.5,"D","2013/2014"
"701","John Erskine","D","Inactive",37,1,3,4,1962500,0.51,1.53,2.04,"D","2013/2014"
"702","Jacob Trouba","RD","Winnipeg Jets",65,10,19,29,1827500,5.47,10.4,15.87,"C","2013/2014"
"703","Jamie McBain","D","Tampa Bay Lightning",69,6,11,17,1800000,3.33,6.11,9.44,"C","2013/2014"
"704","Rasmus Ristolainen","RD","Buffalo Sabres",34,2,2,4,1775000,1.13,1.13,2.25,"D","2013/2014"
"705","Nikita Zadorov","LD","Colorado Avalanche",7,1,0,1,1775000,0.56,0,0.56,"D","2013/2014"
"706","Scott Mayfield","RD","New York Islanders",5,0,0,0,1775000,0,0,0,"D","2013/2014"
"707","Conor Allen","D","Minnesota Wild",3,0,0,0,1775000,0,0,0,"D","2013/2014"
"708","Cam Schilling","D","Winnipeg Jets",1,0,0,0,1775000,0,0,0,"D","2013/2014"
"709","Jeff Petry","RD","Montreal Canadiens",80,7,10,17,1750000,4,5.71,9.71,"C","2013/2014"
"710","Tim Erixon","D","Pittsburgh Penguins",2,0,0,0,1750000,0,0,0,"D","2013/2014"
"711","Hampus Lindholm","LD","Anaheim Ducks",78,6,24,30,1744170,3.44,13.76,17.2,"C","2013/2014"
"712","Morgan Rielly","LD","Toronto Maple Leafs",73,2,25,27,1744170,1.15,14.33,15.48,"C","2013/2014"
"713","Torey Krug","LD","Boston Bruins",79,14,26,40,1704170,8.22,15.26,23.47,"C","2013/2014"
"714","Chris Butler","LD","St Louis Blues",82,2,14,16,1700000,1.18,8.24,9.41,"C","2013/2014"
"715","Anton Stralman","RD","Tampa Bay Lightning",81,1,12,13,1700000,0.59,7.06,7.65,"C","2013/2014"
"716","Mark Stuart","D","Free Agent",69,2,11,13,1700000,1.18,6.47,7.65,"C","2013/2014"
"717","Mike Weber","D","Free Agent",68,1,8,9,1666670,0.6,4.8,5.4,"D","2013/2014"
"718","Mathew Dumba","RD","Minnesota Wild",13,1,1,2,1602500,0.62,0.62,1.25,"D","2013/2014"
"719","Matt Hunwick","LD","Pittsburgh Penguins",1,0,0,0,1600000,0,0,0,"D","2013/2014"
"720","Adam McQuaid","RD","Boston Bruins",30,1,5,6,1566670,0.64,3.19,3.83,"D","2013/2014"
"721","Anton Belov","D","Inactive",57,1,6,7,1525000,0.66,3.93,4.59,"D","2013/2014"
"722","Dylan McIlrath","D","Detroit Red Wings",2,0,0,0,1507500,0,0,0,"D","2013/2014"
"723","Jason Demers","RD","Arizona Coyotes",75,5,29,34,1500000,3.33,19.33,22.67,"C","2013/2014"
"724","Kris Russell","RD","Edmonton Oilers",68,7,22,29,1500000,4.67,14.67,19.33,"C","2013/2014"
"725","Chris Tanev","RD","Vancouver Canucks",64,6,11,17,1500000,4,7.33,11.33,"C","2013/2014"
"726","Jay Harrison","D","Free Agent",68,4,11,15,1500000,2.67,7.33,10,"C","2013/2014"
"727","Keith Ballard","D","Free Agent",45,2,7,9,1500000,1.33,4.67,6,"D","2013/2014"
"728","Ryan Jones","D","Free Agent",52,2,4,6,1500000,1.33,2.67,4,"D","2013/2014"
"729","Francis Bouillon","D","Inactive",52,2,4,6,1500000,1.33,2.67,4,"D","2013/2014"
"730","Matt Carkner","D","Free Agent",53,0,3,3,1500000,0,2,2,"D","2013/2014"
"731","Douglas Murray","D","Calgary Flames",53,0,2,2,1500000,0,1.33,1.33,"D","2013/2014"
"732","Denis Grebeshkov","D","Inactive",7,0,1,1,1500000,0,0.67,0.67,"D","2013/2014"
"733","Aaron Rome","D","Inactive",25,0,1,1,1500000,0,0.67,0.67,"D","2013/2014"
"734","Dougie Hamilton","RD","Calgary Flames",64,7,18,25,1494170,4.68,12.05,16.73,"C","2013/2014"
"735","Calvin de Haan","LD","New York Islanders",51,3,13,16,1470000,2.04,8.84,10.88,"C","2013/2014"
"736","Jonas Brodin","LD","Minnesota Wild",79,8,11,19,1444170,5.54,7.62,13.16,"C","2013/2014"
"737","Ryan Ellis","RD","Nashville Predators",80,6,21,27,1440000,4.17,14.58,18.75,"C","2013/2014"
"738","Christian Folin","RD","Los Angeles Kings",1,0,1,1,1387500,0,0.72,0.72,"D","2013/2014"
"739","Cody Ceci","RD","Ottawa Senators",49,3,6,9,1369170,2.19,4.38,6.57,"D","2013/2014"
"740","Jamie Oleksiak","LD","Pittsburgh Penguins",7,0,0,0,1369170,0,0,0,"D","2013/2014"
"741","Dan DeKeyser","LD","Detroit Red Wings",65,4,19,23,1350000,2.96,14.07,17.04,"C","2013/2014"
"742","Andrej Sustr","RD","Tampa Bay Lightning",43,1,7,8,1350000,0.74,5.19,5.93,"D","2013/2014"
"743","Nate Schmidt","LD","Vegas Golden Knights",29,2,4,6,1350000,1.48,2.96,4.44,"D","2013/2014"
"744","Kevin Czuczman","D","New York Islanders",13,0,2,2,1350000,0,1.48,1.48,"D","2013/2014"
"745","Bryce Van Brabant","D","Calgary Flames",6,0,0,0,1350000,0,0,0,"D","2013/2014"
"746","Brandon Gormley","D","Colorado Avalanche",5,0,0,0,1315000,0,0,0,"D","2013/2014"
"747","Ryan Murphy","LD","Minnesota Wild",48,2,10,12,1313330,1.52,7.61,9.14,"D","2013/2014"
"748","Mark Fayne","D","Edmonton Oilers",72,4,7,11,1300000,3.08,5.38,8.46,"D","2013/2014"
"749","Mark Fraser","D","Free Agent",42,1,1,2,1275000,0.78,0.78,1.57,"D","2013/2014"
"750","Nathan Beaulieu","LD","Buffalo Sabres",17,0,2,2,1275000,0,1.57,1.57,"D","2013/2014"
"751","Brendan Smith","D","New York Rangers",71,5,14,19,1262500,3.96,11.09,15.05,"C","2013/2014"
"752","Justin Braun","RD","San Jose Sharks",82,4,13,17,1250000,3.2,10.4,13.6,"C","2013/2014"
"753","Sheldon Brookbank","D","Inactive",48,2,5,7,1250000,1.6,4,5.6,"D","2013/2014"
"754","Oscar Klefbom","LD","Edmonton Oilers",17,1,2,3,1244170,0.8,1.61,2.41,"D","2013/2014"
"755","Raphael Diaz","D","New York Rangers",63,2,13,15,1225000,1.63,10.61,12.24,"C","2013/2014"
"756","David Schlemko","LD","Montreal Canadiens",48,1,8,9,1187500,0.84,6.74,7.58,"D","2013/2014"
"757","Michael Stone","RD","Calgary Flames",70,8,13,21,1150000,6.96,11.3,18.26,"C","2013/2014"
"758","Jake Gardiner","LD","Toronto Maple Leafs",80,10,21,31,1116670,8.96,18.81,27.76,"C","2013/2014"
"759","Alec Martinez","LD","Los Angeles Kings",61,11,11,22,1100000,10,10,20,"C","2013/2014"
"760","Ben Lovejoy","RD","New Jersey Devils",78,5,13,18,1100000,4.55,11.82,16.36,"C","2013/2014"
"761","Mike Weaver","D","Free Agent",72,1,12,13,1100000,0.91,10.91,11.82,"D","2013/2014"
"762","Jarred Tinordi","D","Pittsburgh Penguins",22,0,2,2,1082500,0,1.85,1.85,"D","2013/2014"
"763","Connor Murphy","RD","Chicago Blackhawks",30,1,7,8,1075830,0.93,6.51,7.44,"D","2013/2014"
"764","Clayton Stoner","LD","Vegas Golden Knights",63,1,4,5,1050000,0.95,3.81,4.76,"D","2013/2014"
"765","Marco Scandella","LD","Buffalo Sabres",76,3,14,17,1024999,2.93,13.66,16.59,"C","2013/2014"
"766","Philip Larsen","D","Vancouver Canucks",30,3,9,12,1024999,2.93,8.78,11.71,"D","2013/2014"
"767","Mattias Ekholm","LD","Nashville Predators",62,1,8,9,1024999,0.98,7.8,8.78,"D","2013/2014"
"768","Jake Muzzin","LD","Los Angeles Kings",76,5,19,24,1e+06,5,19,24,"C","2013/2014"
"769","Matt Irwin","LD","Nashville Predators",62,2,17,19,1e+06,2,17,19,"C","2013/2014"
"770","Paul Ranger","D","Inactive",53,6,8,14,1e+06,6,8,14,"C","2013/2014"
"771","Scott Hannan","D","Free Agent",56,3,9,12,1e+06,3,9,12,"D","2013/2014"
"772","Erik Gustafsson","LD","Chicago Blackhawks",31,2,8,10,1e+06,2,8,10,"D","2013/2014"
"773","Radko Gudas","RD","Philadelphia Flyers",73,3,19,22,991667,3.03,19.16,22.18,"C","2013/2014"
"774","Justin Falk","RD","Buffalo Sabres",21,0,2,2,975000,0,2.05,2.05,"D","2013/2014"
"775","Chad Ruhwedel","RD","Pittsburgh Penguins",21,0,1,1,975000,0,1.03,1.03,"D","2013/2014"
"776","Keith Aulie","D","Free Agent",15,0,1,1,975000,0,1.03,1.03,"D","2013/2014"
"777","John Moore","LD","New Jersey Devils",74,4,11,15,965000,4.15,11.4,15.54,"C","2013/2014"
"778","Tyler Wotherspoon","D","Calgary Flames",14,0,4,4,925000,0,4.32,4.32,"D","2013/2014"
"779","Chad Billins","D","Calgary Flames",10,0,3,3,925000,0,3.24,3.24,"D","2013/2014"
"780","Adam Larsson","RD","Edmonton Oilers",26,1,2,3,925000,1.08,2.16,3.24,"D","2013/2014"
"781","Dmitry Korobov","D","Inactive",3,0,1,1,925000,0,1.08,1.08,"D","2013/2014"
"782","Jake McCabe","LD","Buffalo Sabres",7,0,1,1,925000,0,1.08,1.08,"D","2013/2014"
"783","Jonathan Racine","D","Florida Panthers",1,0,0,0,908333,0,0,0,"D","2013/2014"
"784","Philip Samuelsson","D","Carolina Hurricanes",5,0,0,0,908333,0,0,0,"D","2013/2014"
"785","Ryan Sproul","RD","New York Rangers",1,0,0,0,902500,0,0,0,"D","2013/2014"
"786","Tyson Barrie","RD","Colorado Avalanche",64,13,25,38,9e+05,14.44,27.78,42.22,"C","2013/2014"
"787","Justin Faulk","RD","Carolina Hurricanes",76,5,27,32,9e+05,5.56,30,35.56,"C","2013/2014"
"788","Tom Gilbert","D","Washington Capitals",73,3,25,28,9e+05,3.33,27.78,31.11,"C","2013/2014"
"789","Andre Benoit","D","Columbus Blue Jackets",79,7,21,28,9e+05,7.78,23.33,31.11,"C","2013/2014"
"790","Sami Vatanen","RD","New Jersey Devils",48,6,15,21,9e+05,6.67,16.67,23.33,"C","2013/2014"
"791","Brenden Dillon","LD","San Jose Sharks",80,6,11,17,9e+05,6.67,12.22,18.89,"C","2013/2014"
"792","Jon Merrill","LD","Vegas Golden Knights",52,2,9,11,9e+05,2.22,10,12.22,"D","2013/2014"
"793","Dmitri Orlov","LD","Washington Capitals",54,3,8,11,9e+05,3.33,8.89,12.22,"D","2013/2014"
"794","Joe Corvo","D","Inactive",25,3,7,10,9e+05,3.33,7.78,11.11,"D","2013/2014"
"795","Mark Fistric","D","Free Agent",34,1,4,5,9e+05,1.11,4.44,5.56,"D","2013/2014"
"796","Patrick Wey","D","Inactive",9,0,3,3,9e+05,0,3.33,3.33,"D","2013/2014"
"797","Stefan Elliott","D","Nashville Predators",1,1,0,1,9e+05,1.11,0,1.11,"D","2013/2014"
"798","Brian Dumoulin","LD","Pittsburgh Penguins",6,0,1,1,9e+05,0,1.11,1.11,"D","2013/2014"
"799","Zach Trotman","D","Pittsburgh Penguins",2,0,0,0,9e+05,0,0,0,"D","2013/2014"
"800","Brayden McNabb","LD","Vegas Golden Knights",12,0,0,0,9e+05,0,0,0,"D","2013/2014"
"801","Petter Granberg","D","Nashville Predators",1,0,0,0,9e+05,0,0,0,"D","2013/2014"
