"","pos","last","first","numfirstlast","firstlast","index","player.id","pC","pL","pR","pD","pG","Player Rank 1314","Player Rank 1415"
"1789","R","DOWNIE","STEVE","23 STEVE DOWNIE","STEVE DOWNIE",1789,130,0,0,72,0,0,"B","C"
"1790","R","ETEM","EMERSON","16 EMERSON ETEM","EMERSON ETEM",1790,1055,0,0,45,0,0,"D","D"
"1791","R","HORNQVIST","PATRIC","72 PATRIC HORNQVIST","PATRIC HORNQVIST",1791,213,0,0,64,0,0,"A","A"
"1792","L","MAROON","PATRICK","19 PATRICK MAROON","PATRICK MAROON",1792,719,0,71,0,0,0,"C","C"
"1793","R","SMITH-PELLY","DEVANTE","12 DEVANTE SMITH-PELLY","DEVANTE SMITH-PELLY",1793,278,0,0,54,0,0,"D","D"
"1794","D","STONER","CLAYTON","3 CLAYTON STONER","CLAYTON STONER",1794,487,0,0,0,69,0,"D","B"
"1795","L","BURAKOVSKY","ANDRE","65 ANDRE BURAKOVSKY","ANDRE BURAKOVSKY",1795,1352,0,53,0,0,0,NA,"D"
"1796","C","O'BRIEN","LIAM","87 LIAM O'BRIEN","LIAM O'BRIEN",1796,1353,13,0,0,0,0,NA,"D"
"1797","C","NESTRASIL","ANDREJ","49 ANDREJ NESTRASIL","ANDREJ NESTRASIL",1797,1354,13,0,0,0,0,NA,"D"
"1798","C","BOYLE","BRIAN","11 BRIAN BOYLE","BRIAN BOYLE",1798,325,82,0,0,0,0,"D","C"
"1799","D","EKBLAD","AARON","5 AARON EKBLAD","AARON EKBLAD",1799,1355,0,0,0,81,0,NA,"A"
"1800","C","MACKENZIE","DEREK","17 DEREK MACKENZIE","DEREK MACKENZIE",1800,220,82,0,0,0,0,"D","D"
"1801","C","NAMESTNIKOV","VLADISLAV","90 VLADISLAV NAMESTNIKOV","VLADISLAV NAMESTNIKOV",1801,1282,43,0,0,0,0,"D","D"
"1802","L","DUCLAIR","ANTHONY","63 ANTHONY DUCLAIR","ANTHONY DUCLAIR",1802,1356,0,18,0,0,0,NA,"D"
"1803","R","FAST","JESPER","19 JESPER FAST","JESPER FAST",1803,1179,0,0,58,0,0,"D","D"
"1804","C","LEHTERA","JORI","12 JORI LEHTERA","JORI LEHTERA",1804,1357,75,0,0,0,0,NA,"C"
"1805","C","LINDSTROM","JOAKIM","10 JOAKIM LINDSTROM","JOAKIM LINDSTROM",1805,640,34,0,0,0,0,NA,"D"
"1806","C","SCHWARTZ","JADEN","17 JADEN SCHWARTZ","JADEN SCHWARTZ",1806,973,75,0,0,0,0,"C","C"
"1807","R","STEMPNIAK","LEE","12 LEE STEMPNIAK","LEE STEMPNIAK",1807,533,0,0,53,0,0,"C","C"
"1808","R","CHIASSON","ALEX","90 ALEX CHIASSON","ALEX CHIASSON",1808,1124,0,0,80,0,0,"C","C"
"1809","D","EKHOLM","MATTIAS","14 MATTIAS EKHOLM","MATTIAS EKHOLM",1809,643,0,0,0,80,0,"D","C"
"1810","C","LAZAR","CURTIS","27 CURTIS LAZAR","CURTIS LAZAR",1810,1358,73,0,0,0,0,NA,"D"
